"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"97000","Rocky Mountain","7","SA5N 1/","10","...","Personal income (thousands of dollars)",230362190,246048213,269392776,282517131,288132142,297052625,312466239,336313433,367112638,392944275,410768622,391208750,400125759,433315163,461347229,479685748,513397510,542453905,556451281
"97000","Rocky Mountain","7","SA5N 1/","20","...","Population (persons) 2/",8918147,9094461,9268926,9430982,9567277,9675332,9807510,9972107,10189958,10406301,10609537,10793888,10950134,11084173,11223521,11379275,11531525,11710907,11902923
"97000","Rocky Mountain","7","SA5N 1/","30","...","Per capita personal income (dollars) 3/",25831,27055,29064,29956,30116,30702,31860,33725,36027,37760,38717,36244,36541,39093,41105,42154,44521,46320,46749
"97000","Rocky Mountain","7","SA5N 1/","35","...","  Earnings by place of work",176675449,191768986,210392767,220343192,223492467,228974882,241045939,257482910,279342492,295249296,304197572,288468544,292941124,309744553,327919663,348683300,371472996,389399841,400388770
"97000","Rocky Mountain","7","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",19324664,20640960,22509364,23609045,24372646,25135285,26919552,28873929,31442032,33411672,34508065,33426641,34025372,32128166,33615219,39043654,41551002,43545714,45071202
"97000","Rocky Mountain","7","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",9833330,10565556,11498248,12074469,12233941,12536907,13321443,14270648,15587651,16750507,17382552,16985371,17194264,14147902,14791429,19783886,21076516,22252557,23158420
"97000","Rocky Mountain","7","SA5N 1/","38","...","    Employer contributions for government social insurance",9491334,10075404,11011116,11534576,12138705,12598378,13598109,14603281,15854381,16661165,17125513,16441270,16831108,17980264,18823790,19259768,20474486,21293157,21912782
"97000","Rocky Mountain","7","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",701005,800537,860245,943916,1802860,1675047,1796137,1674032,1232202,1418712,903755,951220,1016720,1203054,1444867,1427642,1543122,1542961,1541175
"97000","Rocky Mountain","7","SA5N 1/","45","...","  Equals: Net earnings by place of residence",158051790,171928563,188743648,197678063,200922681,205514644,215922524,230283013,249132662,263256336,270593262,255993123,259932472,278819441,295749311,311067288,331465116,347397088,356858743
"97000","Rocky Mountain","7","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",48559982,49147464,53851314,55486823,54968584,57509629,60633339,67306992,76203605,84752379,87878762,77559363,75949792,88758909,99427343,100150581,109778603,117997685,119436071
"97000","Rocky Mountain","7","SA5N 1/","47","...","  Plus: Personal current transfer receipts",23750418,24972186,26797814,29352245,32240877,34028352,35910376,38723428,41776371,44935560,52296598,57656264,64243495,65736813,66170575,68467879,72153791,77059132,80156467
"97000","Rocky Mountain","7","SA5N 1/","50","...","  Wages and salaries",127635125,138045340,152762071,158114221,158951711,162403345,171596818,182615417,198157405,212644885,219729731,211472655,214307987,223192173,234944920,243601766,258728916,272688213,282361800
"97000","Rocky Mountain","7","SA5N 1/","60","...","  Supplements to wages and salaries",27027924,29081623,32135038,34282283,35445252,37573182,40282358,43391333,46360259,48459564,50124905,50094842,51142416,52537286,54450192,57309557,59604022,61639196,64418574
"97000","Rocky Mountain","7","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",17536590,19006219,21123922,22747707,23306547,24974804,26684249,28788052,30505878,31798399,32999392,33653572,34311308,34557022,35626402,38049789,39129536,40346039,42505792
"97000","Rocky Mountain","7","SA5N 1/","62","...","    Employer contributions for government social insurance",9491334,10075404,11011116,11534576,12138705,12598378,13598109,14603281,15854381,16661165,17125513,16441270,16831108,17980264,18823790,19259768,20474486,21293157,21912782
"97000","Rocky Mountain","7","SA5N 1/","70","...","  Proprietors' income 8/",22012400,24642023,25495658,27946688,29095504,28998355,29166763,31476160,34824828,34144847,34342936,26901047,27490721,34015094,38524551,47771977,53140058,55072432,53608396
"97000","Rocky Mountain","7","SA5N 1/","71","...","    Farm proprietors' income",1379023,1706538,1232151,1874524,990693,1189645,2075933,1973595,871236,1589783,1713978,426381,1700027,3210957,2583545,3197556,3336949,3500985,1667321
"97000","Rocky Mountain","7","SA5N 1/","72","...","    Nonfarm proprietors' income",20633377,22935485,24263507,26072164,28104811,27808710,27090830,29502565,33953592,32555064,32628958,26474666,25790694,30804137,35941006,44574421,49803109,51571447,51941075
"97000","Rocky Mountain","7","SA5N 1/","81","111-112","  Farm earnings",2397520,2745785,2387447,3060363,2316683,2386461,3374466,3430648,2292283,3257218,3327065,2186796,3251755,4740450,4415244,5209592,5333160,5163094,3626570
"97000","Rocky Mountain","7","SA5N 1/","82","...","  Nonfarm earnings",174277929,189023201,208005320,217282829,221175784,226588421,237671473,254052262,277050209,291992078,300870507,286281748,289689369,305004103,323504419,343473708,366139836,384236747,396762200
"97000","Rocky Mountain","7","SA5N 1/","90","113-814","    Private nonfarm earnings",143541618,156388325,173098235,179765964,180917365,183962935,192658707,206611117,227569010,240220636,246052359,229170063,230543901,245086747,262922598,281965817,302517506,318067108,328026793
"97000","Rocky Mountain","7","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",699833,697756,753024,749876,752489,747524,766700,772581,832829,826397,790411,830234,968155,947825,1061535,1158968,1211826,1237849,1251636
"97000","Rocky Mountain","7","SA5N 1/","101","113","        Forestry and logging",233038,227185,243254,221063,"(D)","(D)","(D)",268856,247733,231538,194446,173064,"(D)","(D)","(D)",265704,"(D)",254429,"(D)"
"97000","Rocky Mountain","7","SA5N 1/","102","114","        Fishing, hunting and trapping",21690,23163,22600,17125,"(D)","(D)","(D)",10906,15932,19113,12519,10658,"(D)","(D)","(D)",36457,"(D)",43559,"(D)"
"97000","Rocky Mountain","7","SA5N 1/","103","115","        Support activities for agriculture and forestry",445105,447408,487170,511688,510088,504233,489666,492819,569164,575746,583446,646512,733077,745389,826742,856807,886887,939861,985076
"97000","Rocky Mountain","7","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",3060384,3039873,3401430,4069017,3857508,4109997,4865019,6638369,8575061,9044519,13863547,8711480,10991067,15170760,16881256,18036303,18858754,17382001,14162671
"97000","Rocky Mountain","7","SA5N 1/","201","211","        Oil and gas extraction",948841,905939,1227217,"(D)","(D)","(D)","(D)","(D)",3968169,3893018,"(D)",3837898,5520767,8162170,9640205,11386383,11955265,11504724,9777924
"97000","Rocky Mountain","7","SA5N 1/","202","212","        Mining (except oil and gas)",1561174,1628321,1523192,1505887,1504806,1470460,1621599,1918902,2256137,2416790,2734485,2722629,3130706,3704777,3522962,3018606,2740501,2615315,2174429
"97000","Rocky Mountain","7","SA5N 1/","203","213","        Support activities for mining",550369,505613,651021,"(D)","(D)","(D)","(D)","(D)",2350755,2734711,"(D)",2150953,2339594,3303813,3718089,3631314,4162988,3261962,2210318
"97000","Rocky Mountain","7","SA5N 1/","300","22","      Utilities",1314804,1349000,1393408,"(D)","(D)",1766526,1999463,2029429,2559212,2259558,2555891,2367903,2581410,2697266,2570990,2572713,2768446,2839197,2873109
"97000","Rocky Mountain","7","SA5N 1/","400","23","      Construction",14261033,16369025,18283509,19142666,"(D)",19002089,19797666,21691867,24817922,26113230,24868449,20370609,18248657,18326116,20134469,22776565,26338542,28494984,30762721
