"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"39000","Ohio","3","SA5 1/","10","...","Personal income (thousands of dollars)",21148182,22598139,23510422,23960007,25242554,26287918,28063942,30356780,33134588,34708531,38274742,41814714,44121386,46947495,50934483,56459449,61841296,66118848,72483674,80273127,88755514,98036565,107027918,116356076,121686637,129000255,142456412,151328013,158445882,166010875,178043191,191552868,202826963,207192639,220961744,230239933,242927557,254378135,266568428,282349312,298353863,308082449,323964530,332936158
"39000","Ohio","3","SA5 1/","20","...","Population (persons) 2/",9599000,9671000,9734000,9854000,9929000,9986000,10080000,10201000,10330000,10414000,10516000,10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404
"39000","Ohio","3","SA5 1/","30","...","Per capita personal income (dollars) 3/",2203,2337,2415,2432,2542,2632,2784,2976,3208,3333,3640,3959,4136,4373,4739,5244,5744,6139,6741,7453,8222,9079,9909,10785,11312,12014,13267,14097,14766,15428,16488,17689,18669,18929,20034,20740,21782,22707,23710,25037,26376,27179,28509,29237
"39000","Ohio","3","SA5 1/","35","...","  Earnings by place of work",17826830,19362939,20047257,20063057,21270040,22178909,23801826,25793920,28602091,29699977,32709835,35921385,37259215,39150727,42662308,47634431,51356993,53145210,58961646,65872101,73301326,80623158,84096494,89461167,90386072,95301614,106756116,113980785,119714258,126713859,137003111,145826684,153432546,156923154,168074501,175522863,186555907,194205283,202704817,214618549,227647782,238031966,249367479,255265100
"39000","Ohio","3","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",699941,859949,1002751,984157,1124882,1236269,1354639,1408608,1864276,1958418,2133928,2359714,2407979,2603286,2985256,3863634,4310272,4336259,4941558,5553864,6396502,7321615,7611739,8708161,8899666,9612539,10932297,11869827,12856289,13614404,15148979,16208707,17415438,18308223,19470050,20591618,22172137,23352826,24061699,24789681,25558505,26717486,27074853,27709526
"39000","Ohio","3","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",283431,336300,399988,394223,422512,478059,504384,535219,773258,875385,979667,1109621,1138893,1230240,1373478,1768360,1980160,2011740,2222238,2466534,2802530,3248898,3436379,3986523,4098736,4313318,4809874,5367923,5831106,6204044,6907239,7476042,7988086,8394856,8852305,9369228,10169223,10752102,11143096,11787653,12453690,13088684,13554116,13780692
"39000","Ohio","3","SA5 1/","38","...","    Employer contributions for government social insurance",416510,523649,602763,589934,702370,758210,850255,873389,1091018,1083033,1154261,1250093,1269086,1373046,1611778,2095274,2330112,2324519,2719320,3087330,3593972,4072717,4175360,4721638,4800930,5299221,6122423,6501904,7025183,7410360,8241740,8732665,9427352,9913367,10617745,11222390,12002914,12600724,12918603,13002028,13104815,13628802,13520737,13928834
"39000","Ohio","3","SA5 1/","42","...","  Plus: Adjustment for residence 5/",-119880,-134381,-131676,-122041,-126746,-129352,-134472,-147308,-166359,-160776,-183806,-195030,-184176,-134979,-134139,-159581,-134708,-94226,-108975,-114901,-137027,-160292,-181925,-486337,-611479,-713604,-844656,-920790,-954073,-996839,-1043823,-1107025,-1094505,-1115585,-1231908,-1329947,-1453436,-1494446,-1550057,-1647827,-1824732,-1794634,-1755418,-1684200
"39000","Ohio","3","SA5 1/","45","...","  Equals: Net earnings by place of residence",17007009,18368609,18912830,18956859,20018412,20813288,22312715,24238004,26571456,27580783,30392101,33366641,34667060,36412462,39542913,43611216,46912013,48714725,53911113,60203336,66767797,73141251,76302830,80266669,80874927,84975471,94979163,101190168,105903896,112102616,120810309,128510952,134922603,137499346,147372543,153601298,162930334,169358011,177093061,188181041,200264545,209519846,220537208,225871374
"39000","Ohio","3","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",2695625,2861775,3085796,3242812,3493184,3692823,3962634,4225348,4524641,4749235,5193043,5547765,6058847,6521441,6953380,7682645,8726521,9471568,10070699,11140242,12393287,13942204,16914105,20741957,23001461,24979456,27828157,29193600,30357430,30856517,33000068,37211377,39164782,38705202,39555176,41249831,43253183,46246007,49265932,52745015,55906845,55041541,57160231,56599144
