"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"98000","Far West","8","SA6","1","...","Compensation of employees (thousands of dollars) 1/",36371338,40201602,42743496,45084658,49009678,52591112,56368617,60325520,67098747,72050603,79619965,87427081,92717620,97849730,107540308,119078660,131790023,145134159,161970186,181709685,208462904,237983401,265091605,294072858,311056451,333282235,366988851,397924049,428227691,464267033,505574786,547933618,592766801,611040333,641928700,654870486,677124501,706096627,746386458,802032022,871303547,946299166,1050890299,1076598128
"98000","Far West","8","SA6","5","...","  Wages and salaries",32905174,36275057,38422689,40438848,43776079,46750053,50094810,53550092,59190352,63557832,70030673,76947957,81402383,85260520,93046296,102917024,113606555,124051629,138299193,154031058,176480252,201024460,223738565,247358139,260530698,277104964,304374755,329344953,353416267,383827653,417229072,449673768,485446088,497381505,516770674,524813262,544119439,572849888,609955158,659515787,716888052,780820956,868257072,881885289
"98000","Far West","8","SA6","6","...","  Supplements to wages and salaries",3466164,3926545,4320807,4645810,5233599,5841059,6273807,6775428,7908395,8492771,9589292,10479124,11315237,12589210,14494012,16161636,18183468,21082530,23670993,27678627,31982652,36958941,41353040,46714719,50525753,56177271,62614096,68579096,74811424,80439380,88345714,98259850,107320713,113658828,125158026,130057224,133005062,133246739,136431300,142516235,154415495,165478210,182633227,194712839
"98000","Far West","8","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",2562050,2756119,2952668,3195291,3412628,3777100,4171054,4628330,5181521,5551322,6261696,7058256,7758212,8675683,9879428,10303218,11533250,13865404,15132455,17936847,20366132,23224526,26311194,29114011,31857886,35571388,38642192,42970130,47363936,51112370,55525881,63189074,69291348,74108543,83520340,87340353,88547224,87550717,88950826,92187349,100330700,107926478,119913627,129326203
"98000","Far West","8","SA6","8","...","    Employer contributions for government social insurance",904114,1170426,1368139,1450519,1820971,2063959,2102753,2147098,2726874,2941449,3327596,3420868,3557025,3913527,4614584,5858418,6650218,7217126,8538538,9741780,11616520,13734415,15041846,17600708,18667867,20605883,23971904,25608966,27447488,29327010,32819833,35070776,38029365,39550285,41637686,42716871,44457838,45696022,47480474,50328886,54084795,57551732,62719600,65386636
"98000","Far West","8","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",8166,8674,9195,9800,10312,11088,12073,13006,13943,14931,16170,17729,19451,20955,22120,23215,24402,25561,26687,27968,29307,30890,32418,34454,35169,35816,36526,37628,39420,41442,43796,47330,48259
"98000","Far West","8","SA6","81","[01-02]","  Farm compensation",700161,754298,781047,803667,793223,799357,820503,856268,906950,878195,967518,1057706,1128593,1126957,1169902,1358563,1658627,1913193,2163463,2212861,2136349,2359337,2466301,2409791,2797933,2725407,2806975,2887866,2739414,2804454,3218916,3532838,4203259,4229937,4090814,4435951,4566432,5204179,5762536,6014217,6401612,7368987,7473438,7431160
"98000","Far West","8","SA6","82","...","  Nonfarm compensation",35671177,39447304,41962449,44280991,48216455,51791755,55548114,59469252,66191797,71172408,78652447,86369375,91589027,96722773,106370406,117720097,130131396,143220966,159806723,179496824,206326555,235624064,262625304,291663067,308258518,330556828,364181876,395036183,425488277,461462579,502355870,544400780,588563542,606810396,637837886,650434535,672558069,700892448,740623922,796017805,864901935,938930179,1043416861,1069166968
"98000","Far West","8","SA6","90","...","    Private nonfarm compensation",26905775,30201238,31930509,33572499,36703581,39284362,42068622,44834366,49762308,53086890,58442416,64055927,66674480,69498436,76745044,86163187,95518521,104515993,118365840,135007020,158139564,183582996,205452183,228478294,240607616,258652133,286952392,310891404,335952015,366257847,400094340,433233817,467118646,475886351,497089673,507588335,525484825,550162910,586509369,635305956,695531678,759048883,848896283,858110410
"98000","Far West","8","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",130793,137054,139975,164306,188808,202077,225860,256176,289104,297940,334244,397407,451685,498863,560511,658115,757156,817712,967947,1057771,1382185,1641676,1964044,2014291,2082047,2244417,2513922,2802668,3119374,3498554,3923642,4351523,4953454,4914626,5155436,5170020,5320184,5422315,5682968,6043777,6454894,7302230,7676447,8200443
"98000","Far West","8","SA6","110","07","        Agricultural services",76650,87596,101392,116115,136651,154034,179078,201575,232122,248308,282884,336627,380968,428323,474541,547212,640636,693808,805514,903434,1178558,1421598,1707697,1755305,1845950,2007081,2263175,2530539,2791261,3110310,3448233,3853648,4388439,4323890,4557774,4644058,4786100,4859428,5159924,5526636,"(D)","(D)",7129944,"(NA)"
"98000","Far West","8","SA6","120","...","        Forestry and fishing",54143,49458,38583,48191,52157,48043,46782,54601,56982,49632,51360,60780,70717,70540,85970,110903,116520,123904,162433,154337,203627,220078,256347,258986,236097,237336,250747,272129,328113,388244,475409,497875,565015,590736,597662,525962,534084,562887,523044,517141,"(D)","(D)",546503,"(NA)"
"98000","Far West","8","SA6","121","08","          Forestry",7988,6230,5254,5975,7462,7850,7312,8171,10504,11197,12015,14956,14953,14000,15167,16032,19538,25579,26110,28472,39103,49634,64491,67790,70728,75270,89044,96211,104069,113293,133653,153318,170084,168711,178105,175474,197310,217516,220461,222224,"(D)",250646,"(D)","(NA)"
"98000","Far West","8","SA6","122","...","          Fishing",46155,43228,33329,42216,44695,40193,39470,46430,46478,38435,39345,45824,55764,56540,70803,94871,96982,98325,136323,125865,164524,170444,191856,191196,165369,162066,161703,175918,224044,274951,341756,344557,394931,422025,419557,350488,336774,345371,302583,294917,"(D)","(D)","(D)","(NA)"
"98000","Far West","8","SA6","200","B","      Mining",270350,279555,277671,293532,303280,309729,330881,354463,387680,410408,442216,491399,502942,502402,525528,589410,719011,865255,972100,1138916,1357376,1577263,1948905,2543541,2710100,2750042,3026086,3107341,2943322,2960138,3316891,3516402,3844015,3941639,3942803,3978930,3874533,3842075,3991880,4189085,4192749,3984964,4181873,4515678
"98000","Far West","8","SA6","210","10","        Metal mining",36074,34571,39861,40217,37858,37863,41686,51337,58761,54644,57693,65228,72762,66185,58332,70058,90736,97764,96376,118692,123364,142089,210935,308001,282871,"(D)","(D)",276705,"(D)",446803,612091,778421,892835,888272,915283,918167,947795,1014522,1140431,1204358,"(D)",1240623,"(D)","(NA)"
"98000","Far West","8","SA6","220","12","        Coal mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",52160,"(D)","(D)","(D)","(D)","(D)","(D)",54826,62522,62036,56452,54919,55111,61501,"(D)",54063,60095,"(NA)"
"98000","Far West","8","SA6","230","13","        Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2051646,2099662,"(D)","(D)","(D)",2068495,"(D)",2243175,"(D)",2558372,2486358,2534923,2381017,2226864,2192467,2275231,"(D)",1972238,"(D)","(NA)"
