"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"35000","New Mexico","6","SA6","1","...","Compensation of employees (thousands of dollars) 1/",1236259,1345032,1390072,1420320,1496401,1545651,1655158,1746895,1818104,1895810,2031778,2236049,2412332,2662181,2994670,3339790,3737441,4203389,4776872,5402021,6192243,7025440,7800477,8825494,9464440,9999459,10859358,11640842,12033590,12496813,13251980,14058760,15196326,16184981,17407388,18660904,20049311,21345340,22007231,23103960,24361223,25195158,26960465,28588275
"35000","New Mexico","6","SA6","5","...","  Wages and salaries",1111364,1208032,1246475,1270503,1341269,1380610,1477924,1557028,1612530,1679580,1799610,1964725,2108749,2304215,2578487,2869265,3201264,3578310,4067154,4586116,5257274,5941897,6591138,7435625,7943119,8335716,9022360,9631324,9921639,10342393,10889099,11453055,12299959,13059230,13870597,14888712,16037673,17183832,17794457,18768375,19828841,20521192,21943058,23288778
"35000","New Mexico","6","SA6","6","...","  Supplements to wages and salaries",124895,137000,143597,149817,155132,165041,177234,189867,205574,216230,232168,271324,303583,357966,416183,470525,536177,625079,709718,815905,934969,1083543,1209339,1389869,1521321,1663743,1836998,2009518,2111951,2154420,2362881,2605705,2896367,3125751,3536791,3772192,4011638,4161508,4212774,4335585,4532382,4673966,5017407,5299497
"35000","New Mexico","6","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",100328,107763,111543,117586,120032,125878,136607,147794,152949,156337,169643,194115,220413,261344,301114,324298,365890,433621,485451,559552,632813,728782,823406,927810,1021143,1123187,1217064,1353003,1432251,1460472,1600106,1800065,1975762,2133697,2473301,2628388,2772064,2852459,2861056,2923211,3049120,3144605,3399964,3567805
"35000","New Mexico","6","SA6","8","...","    Employer contributions for government social insurance",24567,29237,32054,32231,35100,39163,40627,42073,52625,59893,62525,77209,83170,96622,115069,146227,170287,191458,224267,256353,302156,354761,385933,462059,500178,540556,619934,656515,679700,693948,762775,805640,920605,992054,1063490,1143804,1239574,1309049,1351718,1412374,1483262,1529361,1617443,1731692
"35000","New Mexico","6","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6624,7103,7488,7964,8472,9151,10048,10900,11711,12678,13755,15231,16908,18026,18780,19591,20420,20967,21508,22316,23069,24122,25404,26616,27566,28425,29079,29817,30881,32111,32928,34513,36092
"35000","New Mexico","6","SA6","81","[01-02]","  Farm compensation",31308,31210,30841,30192,29982,31043,32279,33397,30294,31067,31532,34124,33381,32789,33283,40553,41978,45177,51715,50040,64801,70245,71926,70231,74273,73876,76779,80168,77443,81504,89599,94180,107223,102388,101828,116571,150902,160656,155124,182676,179071,177749,194582,197995
"35000","New Mexico","6","SA6","82","...","  Nonfarm compensation",1204951,1313822,1359231,1390128,1466419,1514608,1622879,1713498,1787810,1864743,2000246,2201925,2378951,2629392,2961387,3299237,3695463,4158212,4725157,5351981,6127442,6955195,7728551,8755263,9390167,9925583,10782579,11560674,11956147,12415309,13162381,13964580,15089103,16082593,17305560,18544333,19898409,21184684,21852107,22921284,24182152,25017409,26765883,28390280
"35000","New Mexico","6","SA6","90","...","    Private nonfarm compensation",775210,862547,885302,897213,949247,965534,1029883,1070346,1107729,1158571,1229859,1358120,1435517,1572782,1781495,2017168,2288863,2585341,2974818,3473146,4070549,4709644,5255189,5973610,6369702,6664754,7308089,7821023,8054177,8308711,8860131,9349901,10062991,10662507,11465723,12437441,13466294,14359486,14896710,15732012,16629690,17190382,18479024,19470609
"35000","New Mexico","6","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",2278,2536,2504,2863,3396,3908,4389,4624,5465,6109,6928,7523,8157,8333,9361,11147,12122,11581,13673,16169,21111,24372,26306,27429,29784,34750,40600,46610,51954,57044,62414,63252,67273,74395,80848,87085,89581,96283,100763,108865,111727,125183,131553,141151
