"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"47000","Tennessee","5","SA6","1","...","Compensation of employees (thousands of dollars) 1/",3635799,3972818,4166109,4334918,4662627,5005858,5453838,5956564,6753587,7253438,8112873,8948481,9566223,10476860,11848172,13350293,14788068,15616976,17460117,19695827,22586400,25174984,27234115,29865968,31083688,33323421,36852755,39772497,42961756,46750950,50436753,53760832,57036844,59623661,64937211,68942725,73825689,78125557,81501263,86849619,92470173,97820331,103259651,105370715
"47000","Tennessee","5","SA6","5","...","  Wages and salaries",3318126,3617396,3784731,3932172,4224747,4519667,4922522,5372901,6052841,6481312,7239650,7990044,8519078,9269980,10411701,11716780,12937818,13508573,15057893,16905670,19331572,21491098,23200309,25363506,26286620,28048523,31010873,33378646,35854069,39094808,42070176,44557486,47084668,48961060,52847210,56076410,60156653,64101944,67049593,71565206,76348383,80562188,84731811,86150248
"47000","Tennessee","5","SA6","6","...","  Supplements to wages and salaries",317673,355422,381378,402746,437880,486191,531316,583663,700746,772126,873223,958437,1047145,1206880,1436471,1633513,1850250,2108403,2402224,2790157,3254828,3683886,4033806,4502462,4797068,5274898,5841882,6393851,7107687,7656142,8366577,9203346,9952176,10662601,12090001,12866315,13669036,14023613,14451670,15284413,16121790,17258143,18527840,19220467
"47000","Tennessee","5","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",219456,239999,250775,267929,286108,308410,345851,384154,433243,483240,544876,628848,700541,812105,959874,1014622,1145495,1381066,1545065,1823674,2112747,2376337,2647467,2888240,3098289,3390387,3636031,4050947,4541383,4917673,5335573,6008087,6546123,7063684,8170757,8667001,9121331,9222728,9479269,10016777,10520596,11375965,12369564,12923741
"47000","Tennessee","5","SA6","8","...","    Employer contributions for government social insurance",98217,115423,130603,134817,151772,177781,185465,199509,267503,288886,328347,329589,346604,394775,476597,618891,704755,727337,857159,966483,1142081,1307549,1386339,1614222,1698779,1884511,2205851,2342904,2566304,2738469,3031004,3195259,3406053,3598917,3919244,4199314,4547705,4800885,4972401,5267636,5601194,5882178,6158276,6296726
"47000","Tennessee","5","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6037,6461,6968,7404,7925,8632,9540,10262,11083,12118,13189,14483,15903,16973,18042,19004,20088,20989,21926,22857,23628,24768,26016,27653,28428,29350,30169,31114,32530,33936,35229,36612,37881
"47000","Tennessee","5","SA6","81","[01-02]","  Farm compensation",36534,41390,42691,43205,42171,53414,52615,48848,63850,55637,53850,50461,60416,59175,63004,68118,79026,77809,82064,99375,94666,104418,109096,107196,123263,116115,114683,113353,105138,103474,113871,122321,140224,132229,129439,135295,129512,140264,135352,143613,155122,156764,140751,164014
"47000","Tennessee","5","SA6","82","...","  Nonfarm compensation",3599265,3931428,4123418,4291713,4620456,4952444,5401223,5907716,6689737,7197801,8059023,8898020,9505807,10417685,11785168,13282175,14709042,15539167,17378053,19596452,22491734,25070566,27125019,29758772,30960425,33207306,36738072,39659144,42856618,46647476,50322882,53638511,56896620,59491432,64807772,68807430,73696177,77985293,81365911,86706006,92315051,97663567,103118900,105206701
"47000","Tennessee","5","SA6","90","...","    Private nonfarm compensation",2880714,3168674,3324731,3435289,3703875,3969518,4319167,4730105,5389431,5791449,6473264,7138153,7577806,8240097,9317917,10609744,11738554,12200351,13762813,15519977,17792341,19914302,21454012,23659266,24748933,26734273,29889108,32188384,34973273,38133865,41152450,44050238,46442671,48598254,53377677,56727770,60783291,64702921,67627508,72767120,77804768,82397872,86941093,88078678
"47000","Tennessee","5","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",5129,4916,6033,6404,7417,7069,9106,10768,10942,12421,14174,15369,16806,19220,21089,24430,27971,29208,33368,37458,50038,55110,66653,68731,72351,80070,90608,102730,111949,126387,135205,144681,162214,171796,177633,190094,214287,231877,252931,268858,297218,333637,353626,388804
"47000","Tennessee","5","SA6","110","07","        Agricultural services",4181,4849,5983,6343,7340,6775,7878,8603,8878,10133,11862,12713,14176,16515,18290,21812,25440,26505,30467,34329,46341,50820,61541,62996,66704,74467,84513,96376,105834,120171,129049,138777,156829,168479,174207,185519,"(D)",226198,246406,262228,289774,326260,345609,"(NA)"
"47000","Tennessee","5","SA6","120","...","        Forestry and fishing",948,67,50,61,77,294,1228,2165,2064,2288,2312,2656,2630,2705,2799,2618,2531,2703,2901,3129,3697,4290,5112,5735,5647,5603,6095,6354,6115,6216,6156,5904,5385,3317,3426,4575,"(D)",5679,6525,6630,7444,7377,8017,"(NA)"
"47000","Tennessee","5","SA6","121","08","          Forestry","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",5391,5837,6095,5996,6079,6008,5792,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",7400,7332,"(D)","(NA)"
"47000","Tennessee","5","SA6","122","...","          Fishing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",212,258,259,119,137,148,112,"(D)","(D)","(D)","(D)",162,"(D)","(D)","(D)","(L)","(L)","(D)","(NA)"
