"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"02000","Alaska","8","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",10328924,10482804,11077295,11733847,12331495,12801278,13463175,14257925,15123763,16129296,17033186,17540259,18013163,18791486,19595302,19960409,20642637,21227555,20529085
"02000","Alaska","8","SA7N 1/","81","111-112","  Farm wages and salaries",6544,8639,5851,5830,5797,5058,5260,5092,4910,4874,11165,16423,15625,14979,16674,16852,17158,16544,17874
"02000","Alaska","8","SA7N 1/","82","...","  Nonfarm wages and salaries",10322380,10474165,11071444,11728017,12325698,12796220,13457915,14252833,15118853,16124422,17022021,17523836,17997538,18776507,19578628,19943557,20625479,21211011,20511211
"02000","Alaska","8","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",6799563,6928846,7382203,7907491,8219505,8510472,9024052,9585286,10160245,10942031,11610355,11807579,12096731,12684659,13377789,13817559,14479997,14982593,14258886
"02000","Alaska","8","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",60422,63820,63250,"(D)",37205,36850,32605,34245,26960,23527,22440,21966,31836,46291,38265,41836,42651,42936,39690
"02000","Alaska","8","SA7N 1/","101","113","        Forestry and logging",48176,49815,49743,31764,28189,26878,"(D)",22963,19001,15055,12962,12562,"(D)","(D)",17834,18477,18946,18473,18119
"02000","Alaska","8","SA7N 1/","102","114","        Fishing, hunting and trapping",10482,12621,11850,"(D)","(D)",6563,6808,7439,"(D)","(D)","(D)",5306,11929,24996,16576,19000,19337,19402,16924
"02000","Alaska","8","SA7N 1/","103","115","        Support activities for agriculture and forestry","(T)","(T)","(T)","(D)","(D)",3409,"(D)",3843,"(D)","(D)","(D)",4098,"(D)","(D)",3855,4359,4368,5061,4647
"02000","Alaska","8","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",902844,782099,909861,"(D)",975897,874845,928075,1035743,1256544,1498378,1754904,1781760,1828614,1942114,2126330,2223155,2417698,2403130,1931670
"02000","Alaska","8","SA7N 1/","201","211","        Oil and gas extraction",354572,331503,349575,388523,395657,338513,363137,394986,429725,511575,603064,634423,641109,684405,770780,829390,937198,959404,830499
"02000","Alaska","8","SA7N 1/","202","212","        Mining (except oil and gas)",94945,88879,92733,"(D)",97496,100656,99009,117451,148128,169868,203439,194526,230534,262265,296969,310840,313397,319819,322924
"02000","Alaska","8","SA7N 1/","203","213","        Support activities for mining",453327,361717,467553,554931,482744,435676,465929,523306,678691,816935,948401,952811,956971,995444,1058581,1082925,1167103,1123907,778247
"02000","Alaska","8","SA7N 1/","300","22","      Utilities",87694,90411,94693,94998,108181,111811,115101,120904,119917,126688,137757,150684,161474,171432,181997,188197,186737,198954,193212
"02000","Alaska","8","SA7N 1/","400","23","      Construction",658170,683358,702122,782734,864509,953611,1004797,1099887,1118136,1161914,1210082,1197166,1206710,1184098,1244858,1303628,1439010,1527504,1340371
"02000","Alaska","8","SA7N 1/","401","236","        Construction of buildings",205597,211147,201944,215897,248604,304807,304324,341698,337903,376946,368525,355333,347392,357983,347000,357423,367068,373191,323490
"02000","Alaska","8","SA7N 1/","402","237","        Heavy and civil engineering construction",175100,160140,176984,205835,204459,224058,249791,276185,305453,286950,306193,318355,320423,289616,325984,376412,459700,522838,459272
"02000","Alaska","8","SA7N 1/","403","238","        Specialty trade contractors",277473,312071,323194,361002,411446,424746,450682,482004,474780,498018,535364,523478,538895,536499,571874,569793,612242,631475,557609
"02000","Alaska","8","SA7N 1/","500","31-33","      Manufacturing",410568,407228,395694,399198,384326,422220,438055,482238,501373,530563,516425,508451,524923,566357,611459,652617,656589,715908,701086
"02000","Alaska","8","SA7N 1/","510","321,327-339","        Durable goods manufacturing",69191,67762,68611,"(D)","(D)",71133,75430,84719,89397,101130,107701,105569,96830,95711,122738,131708,123975,135079,119504
"02000","Alaska","8","SA7N 1/","511","321","          Wood product manufacturing",20775,17211,14922,15754,9914,8149,10010,10561,"(D)",16317,17088,13051,"(D)","(D)","(D)","(D)",27664,32762,25550
"02000","Alaska","8","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",14430,16184,17333,18661,18771,21989,20691,22381,"(D)",19622,18523,18981,18416,15764,16814,16695,17060,18874,17420
