"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"29000","Missouri","4","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",80026069,84349291,89504202,91859770,93506501,95754230,99438536,103902707,108850824,113849300,118961245,113779984,114025700,116652991,121476667,123873462,128628249,134626856,138201062
"29000","Missouri","4","SA7N 1/","81","111-112","  Farm wages and salaries",252068,235253,229982,248113,229463,247996,203530,229332,189511,292146,254531,271778,255271,261887,393981,271015,351437,302273,336718
"29000","Missouri","4","SA7N 1/","82","...","  Nonfarm wages and salaries",79774001,84114038,89274220,91611657,93277038,95506234,99235006,103673375,108661313,113557154,118706714,113508206,113770429,116391104,121082686,123602447,128276812,134324583,137864344
"29000","Missouri","4","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",67802009,71442330,75801178,77548090,78555456,80161809,83413458,87302213,91598812,95570251,99643571,93769346,94168393,96976511,101699485,104003285,108436827,114050882,117305214
"29000","Missouri","4","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",70439,76047,83342,97102,104886,135498,124103,117945,117127,114753,130022,132459,134987,131364,139550,144995,150953,157715,168689
"29000","Missouri","4","SA7N 1/","101","113","        Forestry and logging",5867,7224,5583,"(D)",5472,5571,5559,6537,6332,6159,5212,4101,4524,5722,5075,4435,5110,5893,6832
"29000","Missouri","4","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)",210,219,222,221,245,258,230,169,189,236,395,450,579,610,458
"29000","Missouri","4","SA7N 1/","103","115","        Support activities for agriculture and forestry",64298,68497,77429,91424,99204,129708,118322,111187,110550,108336,124580,128189,130274,125406,134080,140110,145264,151212,161399
"29000","Missouri","4","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",208088,219359,226126,219465,211603,237381,274443,373637,257231,322190,345952,252861,244457,280177,279327,269216,271172,273152,258844
"29000","Missouri","4","SA7N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",560,532,532,652,600,671,733,1297,1315,1803,1844,1475,1649,1587,1319,900
"29000","Missouri","4","SA7N 1/","202","212","        Mining (except oil and gas)",201677,212158,219236,216675,207314,228942,260993,356564,233696,265695,270671,232275,228764,260522,257411,247744,249593,255733,246139
"29000","Missouri","4","SA7N 1/","203","213","        Support activities for mining","(T)",6675,"(T)",2230,3757,7907,12798,16473,22864,55762,73984,19271,13890,17811,20441,19823,19992,16100,11805
"29000","Missouri","4","SA7N 1/","300","22","      Utilities",622510,651571,697690,829875,914489,737310,776157,781792,832751,887606,956858,979822,1001068,1021133,1014432,1040150,1068381,1080548,1098007
"29000","Missouri","4","SA7N 1/","400","23","      Construction",4450264,5000933,5405324,5747170,5720020,5745591,5951464,6287205,6668050,6996068,7066869,6159389,5418951,5289388,5521851,5737153,6049169,6510308,7056907
"29000","Missouri","4","SA7N 1/","401","236","        Construction of buildings",1080739,1218267,1272075,1295099,1312015,1319028,1404805,1485386,1610719,1713354,1708327,1409729,1250397,1157809,1205683,1237541,1356309,1480336,1607586
"29000","Missouri","4","SA7N 1/","402","237","        Heavy and civil engineering construction",663932,694518,759721,808664,779091,794473,787872,824281,856441,891250,961158,1004855,857594,858004,892667,941261,969717,974956,1034577
"29000","Missouri","4","SA7N 1/","403","238","        Specialty trade contractors",2705593,3088148,3373528,3643407,3628914,3632090,3758787,3977538,4200890,4391464,4397384,3744805,3310960,3273575,3423501,3558351,3723143,4055016,4414744
"29000","Missouri","4","SA7N 1/","500","31-33","      Manufacturing",13174263,13440353,13822517,13427644,13198276,13204180,13702102,13985071,14444137,14491520,14788449,12848445,12428364,12846732,13442059,13825785,14589795,15251842,15359890
"29000","Missouri","4","SA7N 1/","510","321,327-339","        Durable goods manufacturing",8338660,8492700,8739296,8394957,8257817,8373658,8785780,9040470,9341378,9242556,8818928,7697160,7374265,7788809,7998474,8476801,9130552,9526156,9589283
"29000","Missouri","4","SA7N 1/","511","321","          Wood product manufacturing",238829,251923,256743,254043,251738,252245,262841,272902,296288,282055,263373,215895,222678,225184,240604,235442,255112,273388,291085
"29000","Missouri","4","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",398242,416591,430814,376923,365599,366012,381694,404006,431378,423131,418218,359376,355206,361620,370697,328604,343416,381752,387465
"29000","Missouri","4","SA7N 1/","513","331","          Primary metal manufacturing",460359,484839,494057,416164,385610,373624,396860,419234,445014,431488,411582,337013,319945,386809,412976,402037,407544,422712,372578
