"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"40000","Oklahoma","6","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",38191567,39820646,42486440,44622573,45171865,46249197,48469989,51110208,56336973,59578877,63280222,61188190,62413254,66233157,70175803,72329233,75592680,76954206,75613712
"40000","Oklahoma","6","SA7N 1/","81","111-112","  Farm wages and salaries",167828,191816,184560,207706,146711,173629,243545,233013,223590,314623,354711,265649,263974,288817,352364,291345,323099,201622,226613
"40000","Oklahoma","6","SA7N 1/","82","...","  Nonfarm wages and salaries",38023739,39628830,42301880,44414867,45025154,46075568,48226444,50877195,56113383,59264254,62925511,60922541,62149280,65944340,69823439,72037888,75269581,76752584,75387099
"40000","Oklahoma","6","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",29734267,30905772,32991115,34546214,34589201,35342332,37053136,39085158,43581529,45928551,48924652,46256018,47179767,51000770,54679014,56679309,59603378,60673183,59060082
"40000","Oklahoma","6","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",54133,58702,63596,62558,66641,72805,79729,85565,88707,91035,93308,91578,97061,96007,99434,107114,117288,125853,138785
"40000","Oklahoma","6","SA7N 1/","101","113","        Forestry and logging",7606,8676,9244,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"40000","Oklahoma","6","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"40000","Oklahoma","6","SA7N 1/","103","115","        Support activities for agriculture and forestry",45834,49409,53902,54247,56045,62947,71212,76237,80485,83303,85017,84056,87909,87382,90358,98464,107736,115757,128446
"40000","Oklahoma","6","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",1386439,1322229,1393055,1629777,1549967,1734043,1931968,2349959,3640457,3676358,4390134,3458404,3665529,4834932,5330674,5655311,5928232,5521737,4268850
"40000","Oklahoma","6","SA7N 1/","201","211","        Oil and gas extraction",891142,812560,818488,891223,869372,969673,1056944,1239304,2119458,1835686,2169642,1852802,1929110,2508058,2883789,3080001,3109843,3361139,2669895
"40000","Oklahoma","6","SA7N 1/","202","212","        Mining (except oil and gas)",65007,68169,78977,73640,79019,76222,77982,89042,96818,111451,105469,90701,90487,95223,103188,107532,114202,119366,126135
"40000","Oklahoma","6","SA7N 1/","203","213","        Support activities for mining",430290,441500,495590,664914,601576,688148,797042,1021613,1424181,1729221,2115023,1514901,1645932,2231651,2343697,2467778,2704187,2041232,1472820
"40000","Oklahoma","6","SA7N 1/","300","22","      Utilities",443220,453630,492583,586949,598302,583686,605414,646843,684165,828946,847106,919062,896456,927800,1080163,1129816,1374548,1206810,1130636
"40000","Oklahoma","6","SA7N 1/","400","23","      Construction",1585111,1749125,1900322,2128377,2045986,2061821,2055727,2259797,2567286,2728273,3095882,2865380,2909018,2988627,3235860,3609921,3732617,3950177,4019534
"40000","Oklahoma","6","SA7N 1/","401","236","        Construction of buildings",332483,373464,408031,472797,525784,473343,453827,500974,571768,613052,694128,626433,637740,618886,612907,664326,664936,729795,815145
"40000","Oklahoma","6","SA7N 1/","402","237","        Heavy and civil engineering construction",312688,350183,383808,467723,404668,390576,379584,427283,473713,509165,564194,562612,606184,633195,745530,937227,926063,915339,914884
"40000","Oklahoma","6","SA7N 1/","403","238","        Specialty trade contractors",939940,1025478,1108483,1187857,1115534,1197902,1222316,1331540,1521805,1606056,1837560,1676335,1665094,1736546,1877423,2008368,2141618,2305043,2289505
"40000","Oklahoma","6","SA7N 1/","500","31-33","      Manufacturing",5480077,5620229,5944730,5945262,5610218,5579692,5696722,5899568,6386900,6610076,6846958,6028596,5977103,6542128,7151988,7394436,7850737,7758828,7293891
"40000","Oklahoma","6","SA7N 1/","510","321,327-339","        Durable goods manufacturing",3719879,3838110,4081227,4077722,3790080,3743338,3846093,3995670,4438863,4664538,4904404,4154196,4057802,4534592,5115974,5320266,5676616,5527587,5018906
"40000","Oklahoma","6","SA7N 1/","511","321","          Wood product manufacturing",100929,109334,117448,129964,134951,138973,140052,145930,142867,139008,122509,93828,80300,78797,79772,81713,88951,98424,103358
"40000","Oklahoma","6","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",281281,292625,312746,304645,300666,314164,332082,342246,364372,370095,378862,333819,322225,313636,326034,340515,358977,392705,397231
"40000","Oklahoma","6","SA7N 1/","513","331","          Primary metal manufacturing",141877,131904,158628,156759,126171,141595,165371,184106,210039,214119,236130,181389,178299,209155,226817,226245,207281,191835,185462
"40000","Oklahoma","6","SA7N 1/","514","332","          Fabricated metal product manufacturing",786676,855355,901708,963537,901883,796699,812189,847610,972569,1028319,1140880,970100,930193,1056740,1238363,1283295,1401715,1352154,1172518
"40000","Oklahoma","6","SA7N 1/","515","333","          Machinery manufacturing",923719,906128,1002884,1043038,907620,955522,1035415,1128743,1290428,1478708,1597410,1350016,1349518,1591744,1851945,1928639,2061631,1915817,1616732
"40000","Oklahoma","6","SA7N 1/","516","334","          Computer and electronic product manufacturing",511982,539469,538417,461407,319770,312817,275991,274004,299419,320581,333963,308432,289496,301968,322480,312312,317128,317030,287777
"40000","Oklahoma","6","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",89718,83397,93515,100435,101831,102490,108441,110074,117190,126082,129901,123630,130132,133760,135373,133437,139699,144664,151997
"40000","Oklahoma","6","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",448015,489607,512754,473767,568157,558679,526179,476297,468559,386006,364272,267028,249779,251355,268843,274752,311335,"(D)","(D)"
"40000","Oklahoma","6","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",229923,211482,221694,225246,192912,201274,224241,241083,307884,345442,348718,317559,326203,385394,444630,511634,555947,"(D)","(D)"
"40000","Oklahoma","6","SA7N 1/","521","337","          Furniture and related product manufacturing",90061,95514,88372,86727,82047,78527,83333,87597,91521,81992,85009,53439,47766,58597,66838,68512,74401,80318,81994
"40000","Oklahoma","6","SA7N 1/","522","339","          Miscellaneous manufacturing",115698,123295,133061,132197,154072,142598,142799,157980,174015,174186,166750,154956,153891,153446,154879,159212,159551,153336,154805
"40000","Oklahoma","6","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",1760198,1782119,1863503,1867540,1820138,1836354,1850629,1903898,1948037,1945538,1942554,1874400,1919301,2007536,2036014,2074170,2174121,2231241,2274985
"40000","Oklahoma","6","SA7N 1/","531","311","          Food manufacturing",468449,492061,536905,561159,572327,592435,603918,613930,625816,632110,648969,645938,658680,646508,660873,663720,683343,701796,730902
"40000","Oklahoma","6","SA7N 1/","532","312","          Beverage and tobacco product manufacturing",70087,69816,75266,83446,73448,69074,76175,80840,86893,93878,109802,104805,104170,104593,102848,102246,107259,117919,121946
"40000","Oklahoma","6","SA7N 1/","533","313","          Textile mills","(T)","(T)","(T)",3100,2679,1947,2629,2600,3433,3421,3774,3861,4050,4219,5188,4785,3824,3970,4036
"40000","Oklahoma","6","SA7N 1/","534","314","          Textile product mills",25874,25122,22976,18633,15372,13635,14828,17792,18899,19440,17998,15975,15572,14962,16299,16898,17309,18121,19752
"40000","Oklahoma","6","SA7N 1/","535","315","          Apparel manufacturing",79392,77403,75185,61459,53928,43543,29991,29642,29968,31943,29347,28335,31240,33720,28282,27247,27017,27527,28622
"40000","Oklahoma","6","SA7N 1/","536","316","          Leather and allied product manufacturing",8907,8902,8118,7361,5985,5655,5537,6021,5740,10691,11272,10170,10033,12006,13221,13397,14908,15247,13001
"40000","Oklahoma","6","SA7N 1/","537","322","          Paper manufacturing",147394,155394,162456,153612,154838,152459,155480,161986,156653,154025,154164,153369,152518,161388,169070,177102,185005,190968,187884
"40000","Oklahoma","6","SA7N 1/","538","323","          Printing and related support activities",167819,168319,168452,166133,148991,142439,138385,134403,136616,135516,129436,115763,115106,108188,99519,95224,96085,91706,97811
"40000","Oklahoma","6","SA7N 1/","539","324","          Petroleum and coal products manufacturing",123223,117772,115597,125823,123538,137805,127825,132517,143675,157798,164351,167477,167995,179499,203390,200858,223836,223668,226480
"40000","Oklahoma","6","SA7N 1/","541","325","          Chemical manufacturing",175211,158031,163945,155279,134942,131411,131569,139536,150027,153404,163413,156436,156640,214196,201136,233035,257789,269210,269772
"40000","Oklahoma","6","SA7N 1/","542","326","          Plastics and rubber products manufacturing",487957,505030,529319,531535,534090,545951,564292,584631,590317,553312,510028,472271,503297,528257,536188,539658,557746,571109,574779
"40000","Oklahoma","6","SA7N 1/","600","42","      Wholesale trade",1819278,1886846,2027002,2189462,2264360,2205129,2353709,2518923,2799341,2962257,3125393,2880962,2811152,3068387,3333425,3467291,3695539,3585925,3441673
"40000","Oklahoma","6","SA7N 1/","700","44-45","      Retail trade",2966153,3136630,3344187,3500362,3536319,3570555,3621745,3762259,3963704,4097339,4235762,4183549,4291396,4459638,4710404,4822777,5018437,5231909,5301622
"40000","Oklahoma","6","SA7N 1/","701","441","        Motor vehicle and parts dealers",667184,713317,739673,788235,800356,815238,815440,837310,861751,912689,912553,857749,904823,972550,1068989,1128836,1175374,1213264,1215554
"40000","Oklahoma","6","SA7N 1/","702","442","        Furniture and home furnishings stores",96062,101381,109326,109990,112134,115812,117094,124285,137917,144597,148772,139778,138123,147172,153650,163191,173156,177470,177088
