state,total_engi,temporary_visa_engi,totals_science,temporary_visa_science,total_area_sqm,land_area,water_area,total_employed,member of unions,percent of employed,represented by unions,union_represent_percentage,sales_tax,us_population,irp,RPP,gdp,personal income,person consumption expenditure,ending_establishments,expanding_establish,gross_contracting_establishment,net_change,opening_establish,total_contract,total_expanding
Alabama,2245,1044,211,123,52420,50645,1775,1895.0,153.0,8.1,170.0,9.0,4.0,4860545,95.6,86.6,819445,189161974,152397,56172,304532,301686,12265,65591,357858,370123
Alaska,167,43,33,4,665384,570641,94743,297.0,55.0,18.5,59.0,19.9,0.0,741522,116.4,105.4,202852,41283275,36758,16926,79348,88035,-7847,17766,104961,97114
Arizona,3506,2030,557,263,113990,113594,396,2727.0,122.0,4.5,151.0,5.5,5.6,6908642,106.0,95.9,1211807,280120037,239680,97941,466729,417798,61663,110673,515739,577402
Arkansas,600,318,75,27,53179,52035,1143,1186.0,47.0,3.9,59.0,5.0,6.0,2988231,96.0,86.9,482755,118697988,92984,35274,187209,185821,7161,41047,221095,228256
California,23957,13083,6351,3338,163695,155779,7916,16001.0,2551.0,15.9,2796.0,17.5,6.25,39296476,126.4,114.4,10410688,2212691221,1641724,749289,3071572,2869798,277254,824769,3619087,3896341
Colorado,3716,1473,1108,267,104094,103642,452,2438.0,238.0,9.8,263.0,10.8,2.9,5530105,113.7,103.0,1294767,288103337,236296,99674,468236,445303,42614,119355,544977,587591
Connecticut,2414,1645,867,525,5543,4842,701,1568.0,275.0,17.5,288.0,18.4,6.0,3587685,120.1,108.7,1053515,247886635,173447,35418,260935,264121,450,39054,299539,299989
Delaware,704,373,93,49,2489,1949,540,419.0,48.0,11.4,56.0,13.3,0.0,952698,110.7,100.2,281548,45574410,40813,19214,75989,78486,-397,21314,97700,97303
District of Columbia,1121,508,197,103,68,61,7,343.0,32.0,9.5,37.0,10.7,5.75,684336,128.0,115.9,507261,51842801,38720,23824,90150,92312,1325,27311,116136,117461
Florida,6511,3844,1035,434,65758,53625,12133,8113.0,456.0,5.6,574.0,7.1,6.0,20656589,110.2,99.7,3707267,947207472,796537,417000,1475209,1297054,222339,461184,1714054,1936393
Georgia,4066,1925,837,434,59425,57513,1912,4249.0,165.0,3.9,210.0,4.9,4.0,10313620,101.8,92.1,2101442,434677178,357332,187327,754618,674145,94526,201380,861472,955998
Hawaii,154,51,183,116,10932,6423,4509,597.0,119.0,19.9,125.0,20.9,4.0,1428683,130.8,118.4,335666,71946077,64460,19243,92243,89300,5422,21722,108543,113965
Idaho,563,166,76,43,83569,82643,926,689.0,42.0,6.1,47.0,6.8,5.0,1680026,102.8,93.0,269101,66433410,56642,29544,142346,127318,18707,33223,156862,175569
Illinois,7420,5222,1514,894,57914,55519,2395,5587.0,812.0,14.5,856.0,15.3,6.25,12835726,109.3,98.9,3166429,663338023,534750,229214,949969,938363,23121,240729,1167577,1190698
Indiana,4648,2768,602,372,36420,35826,593,2927.0,304.0,10.4,335.0,11.4,6.0,6634007,99.8,90.3,1367635,285863662,236353,76881,491314,467154,28565,81286,544035,572600
Iowa,1580,924,350,210,56273,55857,416,1454.0,129.0,8.9,153.0,10.5,5.0,3130869,99.6,90.2,715061,144195709,115999,44983,254616,258617,2736,51720,303600,306336
