date,contract_establish,end_establish,expand_establish,net_change,open_establish,total_contract,total_expand,state
9/30/92,63801,13841,73116,11450,15976,77642,89092,Alabama
12/31/92,66930,19382,74158,8443,20597,86312,94755,Alabama
3/31/93,70792,22587,75865,4503,22017,93379,97882,Alabama
6/30/93,63769,14841,75767,17336,20179,78610,95946,Alabama
9/30/93,70303,22680,75181,5585,23387,92983,98568,Alabama
12/31/93,73197,19584,75663,6179,23297,92781,98960,Alabama
3/31/94,73041,22733,70716,2249,27307,95774,98023,Alabama
6/30/94,68327,19560,78347,14458,23998,87887,102345,Alabama
9/30/94,65513,16295,82573,26562,25797,81808,108370,Alabama
12/31/94,72009,19639,76358,5875,21165,91648,97523,Alabama
3/31/95,73684,20350,79831,11199,25402,94034,105233,Alabama
6/30/95,77879,22314,83408,9672,26457,100193,109865,Alabama
9/30/95,77443,16668,83321,13092,23882,94111,107203,Alabama
12/31/95,77305,20761,79241,1089,19914,98066,99155,Alabama
3/31/96,83079,15504,77802,1013,21794,98583,99596,Alabama
6/30/96,77452,17617,80791,6554,20832,95069,101623,Alabama
9/30/96,78851,17676,82266,13560,27821,96527,110087,Alabama
12/31/96,78752,14487,81043,9701,21897,93239,102940,Alabama
3/31/97,76870,14978,79284,6802,19366,91848,98650,Alabama
6/30/97,83158,14256,81244,4338,20508,97414,101752,Alabama
9/30/97,79282,19967,82560,7888,24577,99249,107137,Alabama
12/31/97,85068,20256,84279,1883,22928,105324,107207,Alabama
3/31/98,84168,13608,83873,11072,24975,97776,108848,Alabama
6/30/98,79697,26201,93038,18625,31485,105898,124523,Alabama
9/30/98,89390,24146,86985,-2076,24475,113536,111460,Alabama
12/31/98,88409,19340,84338,-1846,21565,107749,105903,Alabama
3/31/99,86617,18705,83108,6072,28286,105322,111394,Alabama
6/30/99,80759,24044,87246,4532,22089,104803,109335,Alabama
9/30/99,81176,15611,83972,4930,17745,96787,101717,Alabama
12/31/99,86012,18910,84466,-177,20279,104922,104745,Alabama
3/31/00,91470,17193,87670,-2497,18496,108663,106166,Alabama
6/30/00,86680,19735,88783,3145,20777,106415,109560,Alabama
9/30/00,90197,21814,87546,-44,24421,112011,111967,Alabama
12/31/00,90363,18721,82925,-6674,19485,109084,102410,Alabama
3/31/01,93549,20292,87535,-5755,20551,113841,108086,Alabama
6/30/01,99347,24232,85131,-10922,27526,123579,112657,Alabama
9/30/01,95255,17003,80108,-9831,22319,112258,102427,Alabama
12/31/01,91381,21243,79254,-13176,20194,112624,99448,Alabama
3/31/02,90338,19493,86482,-1510,21839,109831,108321,Alabama
6/30/02,89203,17280,79928,-8782,17773,106483,97701,Alabama
9/30/02,84189,15202,80251,2032,21172,99391,101423,Alabama
12/31/02,89049,14687,80038,-4306,19392,103736,99430,Alabama
3/31/03,85970,19625,84641,-282,20672,105595,105313,Alabama
6/30/03,85321,15226,75864,-7884,16799,100547,92663,Alabama
9/30/03,79202,17021,79892,2029,18360,96223,98252,Alabama
12/31/03,77805,14541,82461,8224,18109,92346,100570,Alabama
3/31/04,76993,17389,88134,13725,19973,94382,108107,Alabama
6/30/04,79200,14560,83659,7610,17711,93760,101370,Alabama
9/30/04,83490,15322,82971,1099,16940,98812,99911,Alabama
12/31/04,77837,14384,89990,16360,18591,92221,108581,Alabama
3/31/05,82209,17169,91860,11454,18972,99378,110832,Alabama
6/30/05,86305,14333,87515,5982,19105,100638,106620,Alabama
9/30/05,82168,15171,91141,14065,20263,97339,111404,Alabama
12/31/05,82579,17534,92530,10928,18511,100113,111041,Alabama
3/31/06,80152,13797,89212,11424,16161,93949,105373,Alabama
6/30/06,87570,13428,84694,-680,15624,100998,100318,Alabama
9/30/06,89176,13247,84190,-1801,16432,102423,100622,Alabama
12/31/06,88646,13771,86857,3761,19321,102417,106178,Alabama
3/31/07,77682,14830,96291,21327,17548,92512,113839,Alabama
6/30/07,94666,14442,82463,-8938,17707,109108,100170,Alabama
9/30/07,86471,15522,83228,-121,18644,101993,101872,Alabama
12/31/07,87965,15905,88397,4814,20287,103870,108684,Alabama
3/31/08,88692,17315,82298,-7170,16539,106007,98837,Alabama
6/30/08,92124,14234,77232,-12243,16883,106358,94115,Alabama
9/30/08,90949,15863,77251,-11634,17927,106812,95178,Alabama
12/31/08,103836,16741,68319,-36573,15685,120577,84004,Alabama
3/31/09,102918,15967,61860,-42833,14192,118885,76052,Alabama
6/30/09,91057,15847,67171,-24046,15687,106904,82858,Alabama
9/30/09,81939,20374,70910,-15727,15676,102313,86586,Alabama
12/31/09,78139,14788,72133,-5019,15775,92927,87908,Alabama
3/31/10,74450,13146,70087,-2480,15029,87596,85116,Alabama
6/30/10,71868,13171,73261,6238,18016,85039,91277,Alabama
9/30/10,76852,17997,74199,-4431,16219,94849,90418,Alabama
12/31/10,74844,14965,73701,3085,19193,89809,92894,Alabama
3/31/11,70230,14528,71694,1280,14344,84758,86038,Alabama
6/30/11,74917,13841,71990,-1266,15502,88758,87492,Alabama
9/30/11,69405,13108,76307,9363,15569,82513,91876,Alabama
12/31/11,75132,12968,70559,-2864,14677,88100,85236,Alabama
3/31/12,67952,12781,76558,11189,15364,80733,91922,Alabama
6/30/12,71286,11592,71770,3735,14843,82878,86613,Alabama
9/30/12,69952,13034,69707,831,14110,82986,83817,Alabama
12/31/12,68473,12563,70405,4405,15036,81036,85441,Alabama
3/31/13,68958,12349,75356,9006,14957,81307,90313,Alabama
6/30/13,70946,11859,72169,6037,16673,82805,88842,Alabama
9/30/13,72130,12687,68773,-2477,13567,84817,82340,Alabama
12/31/13,66171,14022,74393,8607,14407,80193,88800,Alabama
3/31/14,71625,12845,70322,1178,15326,84470,85648,Alabama
6/30/14,68800,12929,73260,6134,14603,81729,87863,Alabama
9/30/14,71176,11694,74413,6603,15060,82870,89473,Alabama
12/31/14,66847,12600,75022,10781,15206,79447,90228,Alabama
3/31/15,73142,11332,71033,1295,14736,84474,85769,Alabama
6/30/15,69305,12290,75080,8663,15178,81595,90258,Alabama
9/30/15,72109,12524,73493,3793,14933,84633,88426,Alabama
12/31/15,68136,13605,79353,15041,17429,81741,96782,Alabama
3/31/16,73395,12819,75825,4579,14968,86214,90793,Alabama
6/30/16,76111,15195,75187,-546,15573,91306,90760,Alabama
9/30/16,76097,13954,78023,6838,18866,90051,96889,Alabama
12/31/16,76083,14204,75497,1394,16184,90287,91681,Alabama
3/31/17,69965,11375,78066,13678,16952,81340,95018,Alabama
6/30/17,73904,14897,74314,-1392,13095,88801,87409,Alabama
9/30/17,76123,15377,77193,3000,17307,91500,94500,Alabama
12/31/17,72556,12943,78973,9036,15562,85499,94535,Alabama
9/30/92,63801,13841,73116,11450,15976,77642,89092,Alabama
12/31/92,66930,19382,74158,8443,20597,86312,94755,Alabama
3/31/93,70792,22587,75865,4503,22017,93379,97882,Alabama
6/30/93,63769,14841,75767,17336,20179,78610,95946,Alabama
9/30/93,70303,22680,75181,5585,23387,92983,98568,Alabama
12/31/93,73197,19584,75663,6179,23297,92781,98960,Alabama
3/31/94,73041,22733,70716,2249,27307,95774,98023,Alabama
6/30/94,68327,19560,78347,14458,23998,87887,102345,Alabama
9/30/94,65513,16295,82573,26562,25797,81808,108370,Alabama
12/31/94,72009,19639,76358,5875,21165,91648,97523,Alabama
3/31/95,73684,20350,79831,11199,25402,94034,105233,Alabama
6/30/95,77879,22314,83408,9672,26457,100193,109865,Alabama
9/30/95,77443,16668,83321,13092,23882,94111,107203,Alabama
12/31/95,77305,20761,79241,1089,19914,98066,99155,Alabama
3/31/96,83079,15504,77802,1013,21794,98583,99596,Alabama
6/30/96,77452,17617,80791,6554,20832,95069,101623,Alabama
9/30/96,78851,17676,82266,13560,27821,96527,110087,Alabama
12/31/96,78752,14487,81043,9701,21897,93239,102940,Alabama
3/31/97,76870,14978,79284,6802,19366,91848,98650,Alabama
